
Time (s),Altitude (m),Vertical velocity (m/s)

0,0,0
2e-3,0,0
4e-3,0,0
6e-3,2.8195e-6,0.0028196
8e-3,2.0241e-5,0.014602
0.01,7.0189e-5,0.035347
0.012,1.7059e-4,0.065056
0.014,3.3938e-4,0.10373
0.016,5.9447e-4,0.15137
0.018,9.538e-4,0.20797
0.02,0.0014353,0.27354
0.022,0.0020569,0.34807
0.024,0.0028395,0.43447
0.026,0.003824,0.55007
0.028,0.0050718,0.69777
0.03,0.0066328,0.86324
0.032,0.0085282,1.0321
0.034,0.010765,1.2044
0.036,0.013349,1.3802
0.038,0.016289,1.5593
0.04,0.01959,1.7419
0.042,0.02326,1.9279
0.044,0.027305,2.1173
0.046,0.031732,2.3101
0.048,0.036549,2.5063
0.05,0.041761,2.706
0.052,0.047376,2.9091
0.054,0.053401,3.1156
0.056,0.059842,3.3255
0.058,0.066706,3.5389
0.06,0.074001,3.7557
0.062,0.081732,3.9759
0.064,0.089908,4.1995
0.066,0.098534,4.4266
0.068,0.10762,4.657
0.07,0.11717,4.8909
0.072,0.12718,5.1282
0.074,0.13768,5.369
0.076,0.14866,5.6132
0.078,0.16014,5.8608
0.08,0.17211,6.1118
0.082,0.18459,6.3662
0.084,0.19758,6.6241
0.086,0.21109,6.8854
0.088,0.22512,7.1501
0.09,0.23969,7.4183
0.092,0.2548,7.6899
0.094,0.27045,7.9644
